age,education,familySize,typeOfHousing,houseOwnership,householdAnnualIncome,ageOfBuilding,freqOfMoving,ageOfCustomerAccountInDays,avgDailyUsage,lateFeePayments,AvgComplaintsRaised,AvgComplaintsResolved,modeOfPayment,typeOfPlanI,typeOfPlanII,Target
32,medium,Small,3BHK-Apt,Owned,Medium,20-30yrs,1,1-2yrs,0.8401829749,0,0,1,DD,Variable,Variable,No
45,medium,Medium,3BHK-Apt,Owned,Medium,10-20yrs,4,1-2yrs,3.5441355334,1,1,0,Others,Variable,Variable,No
39,low,Medium,3BHK-Apt,Owned,Medium,<10yrs,9,2-5yrs,3.0801553755,1,5,3,Others,Variable,Variable,Yes
26,medium,Medium,2BHK-Apt,Owned,Medium,10-20yrs,4,<1yr,3.4343185934,0,8,3,SD,Variable,Variable,No
50,medium,Large,3BHK-Apt,Owned,Medium,>30yrs,4,1-2yrs,3.057926949,0,8,5,DD,Fixed,Fixed,No
59,low,Small,5BHK-House,Rented,Medium,10-20yrs,4,2-5yrs,5.3965315149,0,4,1,SD,Fixed,Fixed,No
42,medium,Large,2BHK-Apt,Rented,Low,<10yrs,3,2-5yrs,4.2040622142,1,0,1,SD,Variable,Variable,No
33,low,Large,1BHK-Apt,Owned,Low,10-20yrs,1,<1yr,3.7079247733,4,6,3,SD,Fixed,Fixed,No
31,medium,Small,3BHK-Apt,Rented,High,20-30yrs,5,2-5yrs,3.5086746143,1,0,0,DD,Variable,Variable,No
54,medium,Small,2BHK-Apt,Owned,Low,20-30yrs,1,1-2yrs,5.651336854,0,2,0,Others,Variable,Variable,No
38,High,Large,3BHK-Apt,Rented,Medium,<10yrs,6,1-2yrs,12.5501432232,0,8,3,DD,Variable,Variable,No
44,low,Medium,3BHK-Apt,Rented,Medium,10-20yrs,3,1-2yrs,2.6801093178,4,4,1,Others,Variable,Variable,Yes
42,medium,Large,2BHK-Apt,Owned,Low,20-30yrs,9,1-2yrs,2.7610753172,1,7,6,Others,Fixed,Fixed,No
51,medium,Medium,3BHK-Apt,Rented,High,20-30yrs,1,2-5yrs,3.2915909871,0,8,5,SD,Fixed,Fixed,No
29,medium,Medium,3BHK-Apt,Rented,Medium,>30yrs,2,2-5yrs,2.0089810289,0,10,5,SD,Fixed,Fixed,No
34,medium,Large,Mansion,Rented,Low,10-20yrs,5,>5yrs,3.152188163,4,3,2,PPM,Fixed,Fixed,No
51,low,Small,2BHK-Apt,Owned,Low,20-30yrs,4,>10yrs,14.8948827707,1,10,0,SD,Fixed,Fixed,Yes
42,High,Small,2BHK-Apt,Rented,Medium,<10yrs,2,1-2yrs,7.3523754554,1,3,0,DD,Fixed,Fixed,Yes
45,low,Medium,Mansion,Rented,Medium,10-20yrs,2,>5yrs,4.5353480494,0,7,4,DD,Fixed,Fixed,No
45,High,Medium,3BHK-Apt,Owned,Medium,20-30yrs,8,1-2yrs,6.0971439424,0,2,1,PPM,Variable,Variable,No
42,medium,Small,2BHK-Apt,Rented,Medium,20-30yrs,8,2-5yrs,12.1450206864,1,7,1,PPM,Fixed,Fixed,No
42,low,Medium,Mansion,Owned,Low,20-30yrs,1,2-5yrs,1.5683203638,3,7,5,PPM,Variable,Variable,No
51,High,Small,2BHK-Apt,Rented,Low,20-30yrs,2,<1yr,0.9393626644,0,1,0,Others,Variable,Variable,No
39,medium,Small,3BHK-Apt,Owned,Medium,<10yrs,1,2-5yrs,5.5343654689,1,2,1,PPM,Variable,Variable,Yes
34,medium,Large,5BHK-House,Owned,Low,10-20yrs,6,1-2yrs,7.314970585,4,3,2,PPM,Variable,Variable,No
33,medium,Large,5BHK-House,Owned,Medium,20-30yrs,8,<1yr,4.248303827,3,9,4,SD,Fixed,Fixed,No
40,medium,Medium,Mansion,Owned,Medium,20-30yrs,5,2-5yrs,5.4491039038,1,1,0,PPM,Variable,Variable,Yes
31,medium,Medium,5BHK-House,Rented,Low,20-30yrs,5,1-2yrs,5.5531790493,1,10,9,PPM,Variable,Variable,No
39,low,Small,2BHK-Apt,Owned,High,<10yrs,2,>10yrs,5.9986872706,2,6,3,DD,Fixed,Fixed,Yes
67,medium,Medium,2BHK-Apt,Owned,Medium,10-20yrs,2,<1yr,7.2918008771,4,6,1,PPM,Variable,Variable,Yes
39,medium,Large,3BHK-Apt,Owned,Low,>30yrs,4,<1yr,3.4675823437,1,2,1,Others,Fixed,Fixed,No
56,High,Small,3BHK-Apt,Rented,High,10-20yrs,8,2-5yrs,2.1908310534,3,7,0,SD,Variable,Variable,No
42,medium,Medium,2BHK-Apt,Owned,Medium,10-20yrs,3,<1yr,1.6519626011,0,1,0,DD,Fixed,Fixed,No
37,medium,Medium,2BHK-Apt,Rented,Medium,10-20yrs,1,1-2yrs,0.7980890674,1,0,0,DD,Variable,Variable,No
56,High,Medium,2BHK-Apt,Owned,Low,20-30yrs,4,2-5yrs,5.2296085722,4,4,2,SD,Variable,Variable,No
29,medium,Medium,3BHK-Apt,Owned,High,<10yrs,5,<1yr,2.2446602096,1,8,1,Others,Fixed,Fixed,No
36,High,Large,2BHK-Apt,Owned,High,20-30yrs,1,1-2yrs,3.7869006223,2,0,1,PPM,Fixed,Fixed,No
36,medium,Small,1BHK-Apt,Owned,Medium,20-30yrs,4,2-5yrs,6.7203101619,2,4,3,PPM,Variable,Variable,Yes
51,High,Small,Mansion,Rented,Low,20-30yrs,2,<1yr,6.6640461559,2,5,4,Others,Fixed,Fixed,No
31,medium,Medium,2BHK-Apt,Owned,Medium,20-30yrs,3,2-5yrs,5.4323179434,4,3,0,SD,Variable,Variable,No
46,medium,Medium,2BHK-Apt,Owned,Medium,10-20yrs,5,>5yrs,4.3553331508,0,0,0,DD,Fixed,Fixed,No
29,low,Large,1BHK-Apt,Rented,Medium,10-20yrs,9,<1yr,3.5932908569,0,10,2,PPM,Fixed,Fixed,No
39,medium,Medium,3BHK-Apt,Owned,High,<10yrs,1,1-2yrs,2.6848561595,0,7,2,SD,Variable,Variable,No
32,medium,Small,2BHK-Apt,Owned,Medium,20-30yrs,3,>10yrs,0.6583821053,3,9,0,Others,Variable,Variable,Yes
24,low,Medium,2BHK-Apt,Owned,Medium,<10yrs,1,2-5yrs,1.2437547612,3,10,1,Others,Fixed,Fixed,No
41,medium,Large,2BHK-Apt,Owned,Low,10-20yrs,1,>5yrs,5.7045801107,3,8,5,Others,Fixed,Fixed,No
54,low,Medium,Mansion,Owned,High,20-30yrs,5,2-5yrs,2.3303949306,4,3,0,PPM,Variable,Variable,No
33,medium,Medium,1BHK-Apt,Owned,Medium,20-30yrs,6,2-5yrs,8.0726448817,2,2,0,SD,Variable,Variable,No
38,High,Large,2BHK-Apt,Rented,Medium,10-20yrs,1,<1yr,3.3853048554,1,2,0,PPM,Fixed,Fixed,No
39,High,Small,3BHK-Apt,Rented,Medium,10-20yrs,3,2-5yrs,3.3812444082,1,7,6,SD,Fixed,Fixed,No
34,High,Large,5BHK-House,Owned,Low,20-30yrs,5,2-5yrs,3.7970200299,0,4,2,DD,Variable,Variable,No
51,medium,Large,2BHK-Apt,Owned,Low,20-30yrs,4,2-5yrs,1.1363443518,3,8,7,DD,Variable,Variable,No
30,medium,Small,2BHK-Apt,Rented,High,20-30yrs,3,2-5yrs,2.4703845336,2,8,0,PPM,Variable,Variable,No
38,medium,Medium,2BHK-Apt,Rented,High,<10yrs,10,<1yr,5.0524325207,4,5,2,SD,Variable,Variable,No
32,medium,Medium,2BHK-Apt,Rented,Low,20-30yrs,1,<1yr,3.05414162,3,7,4,DD,Fixed,Fixed,Yes
37,High,Small,2BHK-Apt,Rented,Medium,>30yrs,2,>5yrs,7.628997925,1,3,1,PPM,Fixed,Fixed,No
39,High,Large,Mansion,Owned,Low,<10yrs,1,2-5yrs,3.2661440649,3,6,3,Others,Fixed,Fixed,No
40,medium,Medium,3BHK-Apt,Owned,High,20-30yrs,7,2-5yrs,3.2095170092,0,6,5,DD,Variable,Variable,No
34,medium,Medium,Mansion,Owned,Low,20-30yrs,2,<1yr,4.9103267337,1,2,1,DD,Variable,Variable,No
44,High,Large,1BHK-Apt,Owned,Low,20-30yrs,5,2-5yrs,6.0934265239,3,7,4,PPM,Fixed,Fixed,No
33,High,Small,3BHK-Apt,Owned,Medium,>30yrs,1,2-5yrs,4.6133222338,3,7,4,PPM,Variable,Variable,No
47,low,Medium,Mansion,Owned,Low,20-30yrs,2,2-5yrs,11.097983009,3,8,0,PPM,Variable,Variable,No
42,low,Small,3BHK-Apt,Owned,Low,20-30yrs,5,>5yrs,5.9487818824,1,2,0,DD,Fixed,Fixed,No
46,medium,Medium,2BHK-Apt,Rented,Low,10-20yrs,2,2-5yrs,1.78378907,1,3,0,Others,Variable,Variable,No
39,low,Small,1BHK-Apt,Owned,High,20-30yrs,7,2-5yrs,3.5547978415,1,9,0,SD,Fixed,Fixed,No
38,low,Small,Mansion,Owned,Medium,<10yrs,5,2-5yrs,6.0559602646,0,9,5,SD,Variable,Variable,No
52,medium,Medium,2BHK-Apt,Owned,Medium,>30yrs,2,1-2yrs,6.7941979055,1,3,0,PPM,Variable,Variable,No
46,High,Medium,2BHK-Apt,Owned,High,>30yrs,1,>5yrs,6.7274786873,1,5,0,SD,Variable,Variable,No
34,medium,Medium,Mansion,Rented,High,20-30yrs,8,>5yrs,5.7251816631,0,7,1,SD,Variable,Variable,No
41,medium,Large,3BHK-Apt,Owned,High,<10yrs,1,2-5yrs,8.2567318376,3,8,2,PPM,Fixed,Fixed,No
41,medium,Large,5BHK-House,Owned,Medium,<10yrs,4,>5yrs,5.6371406693,1,3,2,SD,Fixed,Fixed,No
46,medium,Small,2BHK-Apt,Rented,Low,20-30yrs,1,2-5yrs,8.0686834962,3,10,2,SD,Variable,Variable,No
47,High,Small,2BHK-Apt,Rented,High,10-20yrs,6,2-5yrs,8.0191214587,0,2,1,PPM,Variable,Variable,No
43,High,Medium,1BHK-Apt,Rented,High,20-30yrs,1,<1yr,2.6105381635,1,1,0,SD,Variable,Variable,Yes
38,medium,Small,2BHK-Apt,Owned,Low,20-30yrs,4,>5yrs,3.5180299011,2,10,7,Others,Fixed,Fixed,No
52,medium,Medium,Mansion,Rented,Low,10-20yrs,4,<1yr,1.3457322764,4,8,4,PPM,Variable,Variable,Yes
51,low,Small,2BHK-Apt,Owned,Medium,20-30yrs,5,1-2yrs,5.2535149722,1,1,0,PPM,Variable,Variable,No
52,low,Medium,Mansion,Rented,Medium,20-30yrs,7,1-2yrs,3.0391326151,0,3,1,Others,Variable,Variable,No
49,High,Medium,2BHK-Apt,Owned,Low,10-20yrs,7,1-2yrs,1.6925928316,1,2,0,PPM,Variable,Variable,No
33,medium,Medium,5BHK-House,Owned,High,10-20yrs,8,1-2yrs,8.0507038807,1,7,6,Others,Variable,Variable,No
50,High,Medium,3BHK-Apt,Rented,Low,>30yrs,1,2-5yrs,2.1490241192,4,10,6,SD,Variable,Variable,No
40,low,Small,3BHK-Apt,Rented,High,<10yrs,7,2-5yrs,3.6806763961,3,10,0,PPM,Fixed,Fixed,No
52,medium,Small,2BHK-Apt,Owned,Low,10-20yrs,2,<1yr,3.6803540064,2,5,2,SD,Fixed,Fixed,No
32,low,Small,3BHK-Apt,Rented,Medium,20-30yrs,1,1-2yrs,2.7632144782,1,3,0,Others,Variable,Variable,No
50,low,Small,2BHK-Apt,Rented,Low,20-30yrs,4,>5yrs,0.3084346889,0,2,1,PPM,Fixed,Fixed,No
43,low,Small,2BHK-Apt,Owned,Medium,10-20yrs,7,1-2yrs,3.9560285049,2,10,5,SD,Fixed,Fixed,No
40,medium,Large,3BHK-Apt,Rented,High,20-30yrs,1,2-5yrs,2.2665507679,2,5,0,PPM,Fixed,Fixed,Yes
44,low,Medium,2BHK-Apt,Rented,Low,>30yrs,1,1-2yrs,6.7241173603,1,0,1,SD,Variable,Variable,No
47,medium,Small,1BHK-Apt,Rented,Medium,>30yrs,2,2-5yrs,1.8679222352,1,9,3,DD,Variable,Variable,No
30,High,Small,5BHK-House,Rented,Low,>30yrs,3,<1yr,2.6738472706,1,10,7,PPM,Fixed,Fixed,No
38,medium,Medium,2BHK-Apt,Owned,Medium,10-20yrs,8,2-5yrs,5.5842817607,4,8,5,Others,Fixed,Fixed,Yes
43,medium,Medium,Mansion,Owned,Low,20-30yrs,3,1-2yrs,2.807178989,0,4,0,SD,Fixed,Fixed,Yes
45,High,Small,Mansion,Owned,Medium,>30yrs,4,1-2yrs,1.9168959896,1,1,0,DD,Variable,Variable,Yes
35,High,Medium,3BHK-Apt,Rented,Medium,10-20yrs,5,<1yr,8.6438788313,0,1,0,DD,Variable,Variable,No
33,medium,Medium,3BHK-Apt,Owned,Medium,20-30yrs,1,2-5yrs,2.7760231045,2,6,4,Others,Variable,Variable,No
39,medium,Medium,3BHK-Apt,Owned,High,<10yrs,6,2-5yrs,2.9299505346,4,5,1,PPM,Variable,Variable,No
53,medium,Small,Mansion,Owned,High,<10yrs,5,>5yrs,6.2058158931,1,9,2,PPM,Variable,Variable,Yes
40,medium,Medium,5BHK-House,Owned,Medium,10-20yrs,1,1-2yrs,5.0804867331,3,6,2,PPM,Variable,Variable,No
51,low,Medium,3BHK-Apt,Owned,Medium,>30yrs,6,<1yr,2.4877271007,3,4,0,SD,Fixed,Fixed,No
39,medium,Medium,1BHK-Apt,Rented,High,10-20yrs,4,<1yr,4.0386291274,0,8,7,DD,Variable,Variable,No
42,low,Medium,2BHK-Apt,Owned,Low,>30yrs,2,2-5yrs,11.2412906386,1,5,0,SD,Variable,Variable,No
35,low,Small,1BHK-Apt,Owned,Medium,10-20yrs,2,<1yr,2.5141585456,2,9,2,SD,Fixed,Fixed,No
40,medium,Small,Mansion,Owned,Medium,>30yrs,1,>10yrs,3.0660253016,1,1,0,PPM,Variable,Variable,No
37,High,Medium,5BHK-House,Owned,Low,20-30yrs,2,1-2yrs,2.4083979157,0,4,1,Others,Fixed,Fixed,Yes
34,medium,Medium,5BHK-House,Rented,High,20-30yrs,6,<1yr,6.0036272579,3,5,2,PPM,Fixed,Fixed,No
25,low,Medium,2BHK-Apt,Owned,Medium,>30yrs,2,1-2yrs,5.5518564311,4,1,0,DD,Variable,Variable,No
32,High,Medium,1BHK-Apt,Owned,Medium,20-30yrs,2,1-2yrs,7.0361422952,2,5,3,DD,Variable,Variable,No
31,medium,Medium,2BHK-Apt,Owned,High,10-20yrs,3,2-5yrs,0.2929203008,3,2,1,PPM,Fixed,Fixed,No
32,medium,Small,1BHK-Apt,Rented,Low,20-30yrs,2,1-2yrs,7.8223701661,1,4,3,PPM,Fixed,Fixed,No
46,High,Small,3BHK-Apt,Rented,Medium,20-30yrs,4,1-2yrs,9.1177689352,1,8,3,PPM,Variable,Variable,No
36,High,Large,2BHK-Apt,Owned,High,10-20yrs,2,2-5yrs,3.7001090012,3,10,8,SD,Variable,Variable,Yes
31,medium,Small,3BHK-Apt,Rented,Low,10-20yrs,1,>5yrs,0.514415918,3,2,0,PPM,Variable,Variable,No
45,High,Medium,Mansion,Owned,Low,10-20yrs,1,2-5yrs,4.966709297,1,0,0,Others,Fixed,Fixed,No
42,High,Medium,2BHK-Apt,Owned,Low,10-20yrs,1,>10yrs,2.8091734884,1,4,1,DD,Variable,Variable,No
42,medium,Small,2BHK-Apt,Owned,Medium,20-30yrs,1,<1yr,4.1219263091,4,5,4,DD,Variable,Variable,Yes
34,low,Medium,1BHK-Apt,Owned,Medium,20-30yrs,5,1-2yrs,7.4845578553,0,5,3,Others,Variable,Variable,Yes
34,medium,Medium,2BHK-Apt,Owned,Medium,10-20yrs,3,1-2yrs,3.328728021,4,2,1,PPM,Variable,Variable,No
36,High,Large,3BHK-Apt,Owned,High,20-30yrs,3,<1yr,2.6178084054,1,7,0,DD,Fixed,Fixed,No
24,low,Small,2BHK-Apt,Rented,Low,20-30yrs,6,<1yr,5.8631614641,2,10,4,DD,Variable,Variable,No
31,medium,Small,2BHK-Apt,Owned,Low,<10yrs,7,<1yr,3.6252780946,1,10,0,PPM,Variable,Variable,No
43,medium,Medium,2BHK-Apt,Rented,High,20-30yrs,4,<1yr,4.7380587094,4,8,0,DD,Variable,Variable,No
53,High,Medium,2BHK-Apt,Rented,Low,20-30yrs,1,>5yrs,4.4396170543,2,4,3,Others,Fixed,Fixed,No
29,High,Medium,3BHK-Apt,Owned,High,<10yrs,4,1-2yrs,23.8429250447,4,7,1,PPM,Fixed,Fixed,No
34,High,Small,1BHK-Apt,Owned,Medium,10-20yrs,2,1-2yrs,3.2638602456,0,1,0,Others,Fixed,Fixed,No
37,High,Large,5BHK-House,Owned,Low,>30yrs,6,>5yrs,3.9220603368,3,3,1,SD,Fixed,Fixed,No
47,low,Medium,5BHK-House,Rented,Low,20-30yrs,1,1-2yrs,8.0763490631,4,5,1,DD,Variable,Variable,No
34,low,Medium,5BHK-House,Owned,Medium,<10yrs,4,>5yrs,3.0200334677,2,2,1,PPM,Variable,Variable,Yes
49,medium,Large,5BHK-House,Owned,High,20-30yrs,7,1-2yrs,0.8716401151,2,10,9,SD,Fixed,Fixed,Yes
40,medium,Medium,Mansion,Rented,High,20-30yrs,5,>5yrs,2.0667743414,0,4,1,Others,Variable,Variable,No
43,medium,Medium,Mansion,Owned,High,10-20yrs,1,<1yr,5.0647439141,3,8,4,PPM,Fixed,Fixed,No
30,High,Small,5BHK-House,Owned,Medium,20-30yrs,3,2-5yrs,2.6009041382,0,9,8,DD,Fixed,Fixed,No
25,High,Large,3BHK-Apt,Rented,Medium,<10yrs,2,>10yrs,2.1726036607,0,1,0,SD,Variable,Variable,No
45,High,Large,3BHK-Apt,Owned,Medium,20-30yrs,1,2-5yrs,3.5006953045,0,7,0,SD,Variable,Variable,No
29,High,Small,5BHK-House,Owned,Low,10-20yrs,2,<1yr,6.1822755736,1,8,0,PPM,Variable,Variable,No
42,High,Large,2BHK-Apt,Rented,Medium,20-30yrs,7,2-5yrs,2.200561438,3,3,0,DD,Fixed,Fixed,No
38,medium,Large,2BHK-Apt,Rented,Low,10-20yrs,2,2-5yrs,13.4130046019,0,2,0,PPM,Fixed,Fixed,No
37,low,Small,1BHK-Apt,Rented,Medium,>30yrs,7,1-2yrs,6.5492446618,3,2,1,SD,Variable,Variable,No
46,High,Medium,3BHK-Apt,Rented,Medium,10-20yrs,4,2-5yrs,3.5536470919,1,1,0,DD,Fixed,Fixed,No
51,low,Medium,2BHK-Apt,Owned,High,10-20yrs,2,2-5yrs,5.0961298825,1,8,7,Others,Variable,Variable,No
35,medium,Small,2BHK-Apt,Owned,High,10-20yrs,4,1-2yrs,5.7356100462,0,4,2,PPM,Variable,Variable,No
26,High,Large,2BHK-Apt,Owned,Medium,<10yrs,1,2-5yrs,1.1001992019,1,8,6,SD,Variable,Variable,No
46,medium,Large,2BHK-Apt,Owned,Medium,20-30yrs,5,<1yr,6.6262971274,3,0,1,DD,Fixed,Fixed,No
35,High,Small,1BHK-Apt,Owned,Medium,10-20yrs,3,2-5yrs,9.3112280079,2,2,0,DD,Variable,Variable,No
37,medium,Small,5BHK-House,Owned,Low,<10yrs,2,2-5yrs,2.2514287447,0,2,1,SD,Variable,Variable,No
37,medium,Large,2BHK-Apt,Rented,Medium,10-20yrs,8,1-2yrs,5.8355898853,0,5,2,DD,Variable,Variable,No
45,low,Small,3BHK-Apt,Rented,High,20-30yrs,2,<1yr,1.4655653832,1,8,0,Others,Fixed,Fixed,No
51,High,Small,Mansion,Rented,Low,<10yrs,2,<1yr,2.5682848661,2,1,0,Others,Fixed,Fixed,No
46,medium,Medium,5BHK-House,Rented,Medium,10-20yrs,6,2-5yrs,1.8859955369,2,8,5,PPM,Variable,Variable,No
41,medium,Small,5BHK-House,Owned,Medium,10-20yrs,1,2-5yrs,7.5467938717,1,7,4,SD,Variable,Variable,Yes
40,low,Small,3BHK-Apt,Rented,Medium,10-20yrs,1,<1yr,0.8979215406,0,5,1,SD,Variable,Variable,Yes
37,low,Small,3BHK-Apt,Owned,Medium,20-30yrs,8,<1yr,4.6777628524,1,10,5,DD,Fixed,Fixed,Yes
42,medium,Medium,2BHK-Apt,Rented,High,20-30yrs,4,>5yrs,3.6294319081,3,1,0,Others,Variable,Variable,No
37,low,Medium,1BHK-Apt,Owned,Medium,20-30yrs,1,>5yrs,0.5054641769,0,5,4,PPM,Variable,Variable,Yes
62,medium,Large,Mansion,Owned,Low,>30yrs,3,<1yr,8.5214263691,1,10,3,PPM,Fixed,Fixed,Yes
50,High,Medium,2BHK-Apt,Rented,High,10-20yrs,2,>10yrs,1.022646237,0,1,0,PPM,Variable,Variable,Yes
32,medium,Small,5BHK-House,Owned,Low,20-30yrs,3,>5yrs,4.9657843786,3,9,8,PPM,Variable,Variable,No
37,medium,Medium,3BHK-Apt,Owned,High,>30yrs,3,1-2yrs,5.1488332139,4,4,1,DD,Variable,Variable,No
40,medium,Large,3BHK-Apt,Owned,Medium,10-20yrs,5,2-5yrs,4.8041536113,2,3,2,Others,Variable,Variable,No
34,low,Medium,Mansion,Owned,Low,10-20yrs,4,1-2yrs,0.7371118778,1,3,1,PPM,Variable,Variable,No
42,High,Large,2BHK-Apt,Owned,Medium,<10yrs,6,2-5yrs,2.6602716087,1,0,0,Others,Fixed,Fixed,Yes
71,medium,Medium,3BHK-Apt,Owned,Medium,<10yrs,2,>5yrs,1.17912674,0,4,2,PPM,Variable,Variable,No
43,High,Medium,Mansion,Rented,Medium,>30yrs,1,1-2yrs,6.8021131915,4,7,6,DD,Variable,Variable,No
34,medium,Large,1BHK-Apt,Rented,High,<10yrs,1,2-5yrs,3.0404370255,0,2,0,PPM,Fixed,Fixed,No
38,medium,Small,3BHK-Apt,Owned,Low,<10yrs,4,<1yr,8.0383258257,3,3,0,PPM,Variable,Variable,No
36,medium,Large,3BHK-Apt,Owned,High,20-30yrs,3,>5yrs,5.7460530073,1,5,1,SD,Fixed,Fixed,No
46,medium,Small,2BHK-Apt,Owned,Medium,20-30yrs,8,<1yr,2.2307645637,2,1,0,DD,Fixed,Fixed,Yes
52,low,Medium,5BHK-House,Owned,Low,20-30yrs,5,1-2yrs,2.83715269,1,9,6,Others,Variable,Variable,No
37,medium,Small,2BHK-Apt,Owned,Medium,<10yrs,2,1-2yrs,3.7372633023,1,1,0,SD,Fixed,Fixed,No
39,low,Medium,2BHK-Apt,Rented,Medium,20-30yrs,5,>5yrs,6.6948674864,4,5,2,SD,Variable,Variable,No
42,High,Medium,2BHK-Apt,Rented,Low,<10yrs,4,2-5yrs,1.6628277694,2,3,1,Others,Fixed,Fixed,No
25,medium,Medium,5BHK-House,Rented,High,20-30yrs,6,2-5yrs,5.1425031162,2,6,1,DD,Variable,Variable,No
60,medium,Medium,2BHK-Apt,Owned,High,20-30yrs,1,1-2yrs,4.633420241,0,0,0,PPM,Fixed,Fixed,No
43,medium,Medium,3BHK-Apt,Rented,High,>30yrs,2,1-2yrs,1.9504212532,1,8,1,DD,Variable,Variable,No
33,medium,Large,3BHK-Apt,Rented,Low,20-30yrs,2,<1yr,5.5891503296,1,5,1,PPM,Fixed,Fixed,No
46,low,Small,1BHK-Apt,Owned,Low,20-30yrs,3,>5yrs,6.3656987782,1,8,6,DD,Variable,Variable,No
31,High,Medium,2BHK-Apt,Owned,Medium,20-30yrs,1,>5yrs,4.9132551628,1,8,5,DD,Fixed,Fixed,Yes
37,medium,Large,1BHK-Apt,Owned,Medium,10-20yrs,3,<1yr,1.7691104727,0,4,1,Others,Fixed,Fixed,No
34,low,Medium,5BHK-House,Owned,Medium,<10yrs,6,2-5yrs,7.4317431919,3,1,0,DD,Variable,Variable,Yes
52,medium,Medium,3BHK-Apt,Rented,High,20-30yrs,3,2-5yrs,1.118742889,0,10,7,SD,Fixed,Fixed,No
43,low,Large,1BHK-Apt,Owned,High,20-30yrs,6,1-2yrs,1.3506643106,2,2,0,PPM,Variable,Variable,No
38,High,Medium,3BHK-Apt,Owned,Medium,10-20yrs,2,1-2yrs,1.6519591288,4,8,3,PPM,Variable,Variable,Yes
40,High,Medium,Mansion,Rented,High,20-30yrs,1,<1yr,3.2012793256,0,8,6,PPM,Fixed,Fixed,Yes
24,medium,Small,5BHK-House,Rented,High,20-30yrs,6,>10yrs,7.9385101955,0,4,3,PPM,Variable,Variable,No
31,low,Medium,2BHK-Apt,Owned,Low,20-30yrs,6,2-5yrs,4.8673376991,4,8,7,SD,Variable,Variable,Yes
47,medium,Medium,1BHK-Apt,Owned,High,>30yrs,8,<1yr,0.5244959817,3,2,0,PPM,Variable,Variable,No
38,medium,Large,2BHK-Apt,Owned,Medium,20-30yrs,5,>10yrs,2.9051901414,0,5,0,SD,Variable,Variable,No
29,medium,Medium,2BHK-Apt,Rented,Medium,10-20yrs,1,2-5yrs,7.0971512542,0,3,2,PPM,Variable,Variable,No
38,low,Large,3BHK-Apt,Owned,Medium,20-30yrs,1,>5yrs,1.5234691708,4,0,0,PPM,Fixed,Fixed,No
33,High,Medium,2BHK-Apt,Rented,Medium,10-20yrs,3,1-2yrs,2.9712147768,2,6,0,PPM,Variable,Variable,No
36,medium,Large,1BHK-Apt,Owned,High,>30yrs,6,>10yrs,4.7819157266,0,3,0,PPM,Variable,Variable,No
29,low,Medium,3BHK-Apt,Rented,Low,<10yrs,8,>5yrs,1.9881440013,3,4,3,DD,Fixed,Fixed,No
33,High,Small,2BHK-Apt,Owned,High,20-30yrs,1,2-5yrs,5.9242287182,1,6,5,Others,Variable,Variable,Yes
30,medium,Small,3BHK-Apt,Owned,Low,<10yrs,1,1-2yrs,3.454734211,1,6,1,Others,Variable,Variable,No
